DEPARTAMENTO,CATEGORIA_GENERAL,GASTO_PROMEDIO,NUMERO_NEGOCIOS,DEMANDA
AMAZONAS,AGENCIAS DE VIAJES,735.326086427617,196,1320.29326486
AMAZONAS,ALOJAMIENTO,735.326086427617,215,1320.2932648599997
AMAZONAS,ENTRETENIMIENTO/PARQUES,735.326086427617,5,1320.29326486
AMAZONAS,GASTRONOMÍA,735.326086427617,3,1320.29326486
AMAZONAS,SERVICIOS TURÍSTICOS,735.326086427617,64,1320.29326486
AMAZONAS,TRANSPORTE,735.326086427617,1,1320.29326486
SAN ANDRES Y PROVIDENCIA,GASTRONOMÍA,712.6426494018433,105,140185.092749407
SAN ANDRES Y PROVIDENCIA,ALOJAMIENTO,712.6426494018432,1302,140185.092749407
SAN ANDRES Y PROVIDENCIA,SERVICIOS TURÍSTICOS,712.6426494018432,18,140185.092749407
SAN ANDRES Y PROVIDENCIA,AGENCIAS DE VIAJES,712.6426494018432,291,140185.092749407
SAN ANDRES Y PROVIDENCIA,TRANSPORTE,712.6426494018432,76,140185.092749407
QUINDIO,ALOJAMIENTO,527.8813789643738,3515,201351.933794052
QUINDIO,AGENCIAS DE VIAJES,527.8813789643738,522,201351.933794052
QUINDIO,SERVICIOS TURÍSTICOS,527.8813789643738,133,201351.933794052
QUINDIO,ENTRETENIMIENTO/PARQUES,527.8813789643738,26,201351.933794052
QUINDIO,TRANSPORTE,527.8813789643738,24,201351.933794052
QUINDIO,GASTRONOMÍA,527.8813789643738,37,201351.933794052
ATLANTICO,AGENCIAS DE VIAJES,508.17559217217035,290,127042.24884164898
ATLANTICO,TRANSPORTE,508.1755921721703,72,127042.248841649
ATLANTICO,GASTRONOMÍA,508.1755921721703,95,127042.248841649
ATLANTICO,ENTRETENIMIENTO/PARQUES,508.1755921721703,13,127042.248841649
ATLANTICO,SERVICIOS TURÍSTICOS,508.1755921721703,144,127042.248841649
ATLANTICO,ALOJAMIENTO,508.17559217217024,2082,127042.248841649
GUAJIRA,TRANSPORTE,471.0920955695499,22,37398.259025437
GUAJIRA,GASTRONOMÍA,471.0920955695498,9,37398.259025437
GUAJIRA,ALOJAMIENTO,471.0920955695498,688,37398.259025437
GUAJIRA,AGENCIAS DE VIAJES,471.0920955695498,239,37398.259025437
GUAJIRA,ENTRETENIMIENTO/PARQUES,471.0920955695498,1,37398.259025437
GUAJIRA,SERVICIOS TURÍSTICOS,471.0920955695498,46,37398.259025437
BOLIVAR,AGENCIAS DE VIAJES,452.35222810837513,1426,214121.870014943
BOLIVAR,GASTRONOMÍA,452.3522281083751,295,214121.870014943
BOLIVAR,ALOJAMIENTO,452.3522281083751,8415,214121.870014943
BOLIVAR,SERVICIOS TURÍSTICOS,452.3522281083751,564,214121.870014943
BOLIVAR,TRANSPORTE,452.3522281083751,107,214121.870014943
BOLIVAR,ENTRETENIMIENTO/PARQUES,452.352228108375,10,214121.870014943
CASANARE,ENTRETENIMIENTO/PARQUES,416.1070633475937,14,27876.783684602
CASANARE,ALOJAMIENTO,416.1070633475937,690,27876.783684602004
CASANARE,SERVICIOS TURÍSTICOS,416.1070633475937,35,27876.783684602
CASANARE,GASTRONOMÍA,416.1070633475937,9,27876.783684602
CASANARE,TRANSPORTE,416.1070633475937,14,27876.783684602
CASANARE,AGENCIAS DE VIAJES,416.1070633475936,96,27876.783684601996
MAGDALENA,ENTRETENIMIENTO/PARQUES,393.13409976414295,3,305871.896673797
MAGDALENA,ALOJAMIENTO,393.1340997641429,6624,305871.896673797
MAGDALENA,TRANSPORTE,393.1340997641429,62,305871.896673797
MAGDALENA,AGENCIAS DE VIAJES,393.1340997641429,677,305871.896673797
MAGDALENA,SERVICIOS TURÍSTICOS,393.1340997641429,475,305871.896673797
MAGDALENA,GASTRONOMÍA,393.1340997641429,65,305871.896673797
SUCRE,AGENCIAS DE VIAJES,369.4539723301978,106,116338.838914683
SUCRE,TRANSPORTE,369.4539723301978,20,116338.838914683
SUCRE,ALOJAMIENTO,369.4539723301978,1108,116338.838914683
SUCRE,SERVICIOS TURÍSTICOS,369.4539723301978,24,116338.83891468302
SUCRE,GASTRONOMÍA,369.4539723301978,7,116338.838914683
BOGOTA,SERVICIOS TURÍSTICOS,364.725640239468,1192,316888.12554357003
BOGOTA,ALOJAMIENTO,364.725640239468,9237,316888.12554357003
BOGOTA,GASTRONOMÍA,364.725640239468,452,316888.12554357003
BOGOTA,TRANSPORTE,364.725640239468,269,316888.12554357003
BOGOTA,AGENCIAS DE VIAJES,364.725640239468,2798,316888.12554357003
BOGOTA,ENTRETENIMIENTO/PARQUES,364.725640239468,17,316888.12554357003
PUTUMAYO,GASTRONOMÍA,332.1445815310185,6,11813.732533880999
PUTUMAYO,ENTRETENIMIENTO/PARQUES,332.1445815310185,6,11813.732533880999
PUTUMAYO,ALOJAMIENTO,332.1445815310185,374,11813.732533881
PUTUMAYO,TRANSPORTE,332.1445815310185,12,11813.732533880999
PUTUMAYO,SERVICIOS TURÍSTICOS,332.1445815310185,47,11813.732533881
PUTUMAYO,AGENCIAS DE VIAJES,332.1445815310185,98,11813.732533881
RISARALDA,ALOJAMIENTO,327.8953711985459,2280,110727.108729977
RISARALDA,ENTRETENIMIENTO/PARQUES,327.8953711985459,7,110727.108729977
RISARALDA,GASTRONOMÍA,327.8953711985459,36,110727.108729977
RISARALDA,TRANSPORTE,327.8953711985459,55,110727.10872997702
RISARALDA,SERVICIOS TURÍSTICOS,327.8953711985459,139,110727.108729977
RISARALDA,AGENCIAS DE VIAJES,327.8953711985459,449,110727.108729977
CAQUETA,GASTRONOMÍA,326.69201946003943,25,22747.715093549003
CAQUETA,SERVICIOS TURÍSTICOS,326.69201946003943,47,22747.715093549
CAQUETA,TRANSPORTE,326.69201946003943,9,22747.715093549
CAQUETA,ALOJAMIENTO,326.69201946003943,206,22747.715093549
CAQUETA,AGENCIAS DE VIAJES,326.69201946003943,84,22747.715093549
CAQUETA,ENTRETENIMIENTO/PARQUES,326.69201946003943,6,22747.715093549003
CORDOBA,SERVICIOS TURÍSTICOS,287.0293841960038,23,87485.518051511
CORDOBA,AGENCIAS DE VIAJES,287.0293841960038,66,87485.518051511
CORDOBA,ALOJAMIENTO,287.0293841960038,800,87485.518051511
CORDOBA,GASTRONOMÍA,287.0293841960038,14,87485.518051511
CORDOBA,TRANSPORTE,287.0293841960038,32,87485.518051511
CHOCO,ALOJAMIENTO,257.25615704202374,461,51935.823585019
CHOCO,GASTRONOMÍA,257.25615704202374,4,51935.823585019
CHOCO,TRANSPORTE,257.25615704202374,1,51935.823585019
CHOCO,AGENCIAS DE VIAJES,257.25615704202374,93,51935.823585019
CHOCO,SERVICIOS TURÍSTICOS,257.25615704202374,4,51935.823585019
ARAUCA,ENTRETENIMIENTO/PARQUES,233.2772386041869,2,42862.37330812
ARAUCA,GASTRONOMÍA,233.2772386041869,4,42862.37330812
ARAUCA,AGENCIAS DE VIAJES,233.2772386041869,33,42862.37330812
ARAUCA,ALOJAMIENTO,233.2772386041869,97,42862.37330812
ARAUCA,SERVICIOS TURÍSTICOS,233.2772386041869,9,42862.37330812
ARAUCA,TRANSPORTE,233.2772386041869,2,42862.37330812
SANTANDER,TRANSPORTE,229.98481056796567,63,280435.760751717
SANTANDER,ENTRETENIMIENTO/PARQUES,229.98481056796567,26,280435.760751717
SANTANDER,GASTRONOMÍA,229.98481056796567,28,280435.760751717
SANTANDER,AGENCIAS DE VIAJES,229.98481056796567,946,280435.760751717
SANTANDER,ALOJAMIENTO,229.98481056796567,3372,280435.760751717
SANTANDER,SERVICIOS TURÍSTICOS,229.98481056796564,302,280435.760751717
ANTIOQUIA,TRANSPORTE,215.35772532350995,349,941994.321799121
ANTIOQUIA,AGENCIAS DE VIAJES,215.35772532350992,2762,941994.321799121
