DEPARTAMENTO,NUMERO_NEGOCIOS,DEMANDA_DEPARTAMENTO,% CONCENTRACION,CONCENTRACION_ACUMULADA
ANTIOQUIA,22681,941994.3217991211,19.910809126263025,19.910809126263025
BOGOTA,13965,316888.12554357003,12.259355824181613,32.17016495044464
BOLIVAR,10817,214121.87001494304,9.495843319024168,41.666008269468804
CUNDINAMARCA,8125,677543.888140059,7.13263631016653,48.79864457963534
MAGDALENA,7906,305871.896673797,6.940384328390965,55.7390289080263
VALLE DEL CAUCA,7680,312489.864872383,6.741987306102025,62.481016214128324
SANTANDER,4737,280435.760751717,4.158436701693398,66.63945291582172
QUINDIO,4257,201351.933794052,3.7370624950620215,70.37651541088374
BOYACA,4098,259737.878065216,3.5974822891153773,73.97399769999912
TOLIMA,3827,391123.166965645,3.3595814349547464,77.33357913495387
RISARALDA,2966,110727.108729977,2.6037414518097144,79.93732058676358
META,2732,134642.641044071,2.398321526076918,82.33564211284049
ATLANTICO,2696,127042.248841649,2.3667184605795653,84.70236057342005
CALDAS,2419,162217.258561899,2.1235504288360416,86.82591100225609
HUILA,2055,69141.58789917499,1.804008322140581,88.62991932439667
SAN ANDRES Y PROVIDENCIA,1792,140185.092749407,1.5731303714238059,90.20304969582047
NARIÑO,1553,83697.640176906,1.3633211310385995,91.56637082685907
NORTE DE SANTANDER,1441,62908.164550519,1.2650004828246117,92.83137130968369
SUCRE,1265,116338.838914683,1.1104966070597737,93.94186791674346
GUAJIRA,1005,37398.259025437,0.8822522451344448,94.8241201618779
CORDOBA,935,87485.518051511,0.8208018400007023,95.6449220018786
CASANARE,858,27876.783684602,0.7532063943535856,96.39812839623218
CESAR,822,91875.90493948401,0.7216033288562324,97.11973172508841
CAUCA,727,91257.05902522,0.638206350460439,97.75793807554885
CHOCO,563,51935.823585019,0.4942368298613854,98.25217490541023
PUTUMAYO,543,11813.732533881,0.47667957125174476,98.72885447666198
AMAZONAS,484,1320.29326486,0.4248856583533047,99.15374013501528
CAQUETA,377,22747.715093549,0.33095432479172704,99.48469445980702
GUAVIARE,216,20689.90575057,0.18961839298411945,99.67431285279113
ARAUCA,147,42862.37330812,0.12904585078085906,99.80335870357199
GUAINIA,98,317.15439929,0.08603056718723939,99.88938927075922
VICHADA,83,301.04640999,0.07286262323000887,99.96225189398923
VAUPES,43,,0.037748106010727485,99.99999999999996
